source_file,total_rows,preview_rows,review_needed,skipped_blank,detected_headers,detected_mapping
Jawabu Farmers(March 26).csv,110,110,5,0,Count | Full Name | ID NUMBER | COMMENTS | HBG Contract Name | Sign Date | Sign Date__2 | Contract Type | Financial Partners | Installation Status | Actual Receipts Currency | Actual Receipts | HBG Hub | Sales Person | Mobile | Phone | Created Date,actual_receipts=Actual Receipts; actual_receipts_currency=Actual Receipts Currency; branch=HBG Hub; comments=COMMENTS; contract_type=Contract Type; county=HBG Hub; created_date=Created Date; customer_name=Full Name; hb_sales_person=Sales Person; hbg_contract_name=HBG Contract Name; installation_status=Installation Status; lead_source=Financial Partners; national_id=ID NUMBER; primary_phone=Mobile; secondary_phone=Phone; sign_date=Sign Date__2
Jawabu Farmers(May 26).csv,119,119,0,0,Count | Full Name | ID NUMBER | COMMENTS | HBG Contract Name | Sign Date | Sign Date__2 | Contract Type | Financial Partners | Installation Status | Actual Receipts Currency | Actual Receipts | HBG Hub | Sales Person | Mobile | Phone | Created Date,actual_receipts=Actual Receipts; actual_receipts_currency=Actual Receipts Currency; branch=HBG Hub; comments=COMMENTS; contract_type=Contract Type; county=HBG Hub; created_date=Created Date; customer_name=Full Name; hb_sales_person=Sales Person; hbg_contract_name=HBG Contract Name; installation_status=Installation Status; lead_source=Financial Partners; national_id=ID NUMBER; primary_phone=Mobile; secondary_phone=Phone; sign_date=Sign Date__2
Jawabu Farmers(June 26).csv,114,114,4,0,Count | Full Name | ID NUMBER | COMMENTS | HBG Contract Name | Sign Date | Sign Date__2 | Contract Type | Financial Partners | Installation Status | Actual Receipts Currency | Actual Receipts | HBG Hub | Sales Person | Mobile | Phone | Created Date | Column_18,actual_receipts=Actual Receipts; actual_receipts_currency=Actual Receipts Currency; branch=HBG Hub; comments=COMMENTS; contract_type=Contract Type; county=HBG Hub; created_date=Created Date; customer_name=Full Name; hb_sales_person=Sales Person; hbg_contract_name=HBG Contract Name; installation_status=Installation Status; lead_source=Financial Partners; national_id=ID NUMBER; primary_phone=Mobile; secondary_phone=Phone; sign_date=Sign Date__2
